id,matter_mg,anti_mg,confinement_pct,efficiency_pct,reactivity_pct,field_gradient_pct,speed_pct,total_energy_j,avg_power_w,stability_index,pair_events,threshold_events,gamma_gamma_share_pct,gamma_meson_share_pct,meson_share_pct
77,300,300,55,60,70,15,30,2.460299e+13,4.224415e+12,8.297518e-01,2.362074e+25,6.261747e+25,6.161463e+01,3.495226e+01,3.433110e+00
78,300,300,55,60,70,35,30,2.429778e+13,4.172009e+12,7.659071e-01,2.298092e+25,6.668532e+25,5.806009e+01,3.849187e+01,3.448035e+00
79,300,300,55,60,70,55,30,2.392257e+13,4.107584e+12,6.937595e-01,2.195416e+25,7.091822e+25,5.414182e+01,4.238621e+01,3.471971e+00
80,300,300,55,60,70,75,30,2.351144e+13,4.036991e+12,6.217182e-01,2.077693e+25,7.490829e+25,5.019553e+01,4.630893e+01,3.495543e+00
81,300,300,55,75,12,15,30,1.883032e+13,3.233228e+12,8.307351e-01,1.441129e+25,3.848077e+25,6.145022e+01,3.511207e+01,3.437714e+00
82,300,300,55,75,12,35,30,1.830804e+13,3.143551e+12,7.656904e-01,1.376459e+25,4.042580e+25,5.778481e+01,3.875963e+01,3.455559e+00
83,300,300,55,75,12,55,30,1.770702e+13,3.040354e+12,6.945316e-01,1.292706e+25,4.217258e+25,5.391924e+01,4.260285e+01,3.477912e+00
84,300,300,55,75,12,75,30,1.706628e+13,2.930337e+12,6.226903e-01,1.199238e+25,4.367074e+25,4.997362e+01,4.652505e+01,3.501332e+00
85,300,300,55,75,25,15,30,2.349248e+13,4.033737e+12,8.295928e-01,1.799342e+25,4.796957e+25,6.148641e+01,3.507689e+01,3.436700e+00
86,300,300,55,75,25,35,30,2.299239e+13,3.947868e+12,7.663480e-01,1.731882e+25,5.068767e+25,5.786303e+01,3.868355e+01,3.453421e+00
87,300,300,55,75,25,55,30,2.238281e+13,3.843202e+12,6.939893e-01,1.635610e+25,5.327203e+25,5.395549e+01,4.256756e+01,3.476944e+00
88,300,300,55,75,25,75,30,2.172845e+13,3.730846e+12,6.215480e-01,1.527971e+25,5.557486e+25,4.999986e+01,4.649949e+01,3.500647e+00
89,300,300,55,75,45,15,30,2.773140e+13,4.761574e+12,8.305649e-01,2.127821e+25,5.652102e+25,6.156909e+01,3.499652e+01,3.434385e+00
90,300,300,55,75,45,35,30,2.727622e+13,4.683417e+12,7.659037e-01,2.058004e+25,6.004114e+25,5.793611e+01,3.861247e+01,3.451424e+00
91,300,300,55,75,45,55,30,2.672425e+13,4.588641e+12,6.932449e-01,1.956311e+25,6.351882e+25,5.402646e+01,4.249849e+01,3.475050e+00
92,300,300,55,75,45,75,30,2.613802e+13,4.487985e+12,6.222036e-01,1.843881e+25,6.671325e+25,5.011798e+01,4.638446e+01,3.497566e+00
93,300,300,55,75,70,15,30,3.075873e+13,5.281376e+12,8.306205e-01,2.363342e+25,6.260121e+25,6.163357e+01,3.493385e+01,3.432579e+00
94,300,300,55,75,70,35,30,3.037699e+13,5.215830e+12,7.666758e-01,2.298874e+25,6.668439e+25,5.806836e+01,3.848383e+01,3.447809e+00
95,300,300,55,75,70,55,30,2.990467e+13,5.134730e+12,6.939730e-01,2.195859e+25,7.091407e+25,5.414742e+01,4.238076e+01,3.471821e+00
96,300,300,55,75,70,75,30,2.939613e+13,5.047412e+12,6.226317e-01,2.079325e+25,7.489775e+25,5.021650e+01,4.628850e+01,3.494996e+00
97,300,300,55,88,12,15,30,2.209805e+13,3.794307e+12,8.311486e-01,1.441734e+25,3.847806e+25,6.146114e+01,3.510145e+01,3.437408e+00
98,300,300,55,88,12,35,30,2.148832e+13,3.689616e+12,7.664039e-01,1.377701e+25,4.041784e+25,5.781000e+01,3.873513e+01,3.454871e+00
99,300,300,55,88,12,55,30,2.077332e+13,3.566848e+12,6.942451e-01,1.292159e+25,4.217603e+25,5.390756e+01,4.261422e+01,3.478224e+00
100,300,300,55,88,12,75,30,2.001274e+13,3.436254e+12,6.216038e-01,1.197701e+25,4.366477e+25,4.994835e+01,4.654966e+01,3.501991e+00
101,300,300,55,88,25,15,30,2.756642e+13,4.733245e+12,8.298042e-01,1.799644e+25,4.796747e+25,6.149149e+01,3.507195e+01,3.436558e+00
102,300,300,55,88,25,35,30,2.698262e+13,4.633005e+12,7.668595e-01,1.732827e+25,5.067861e+25,5.788052e+01,3.866654e+01,3.452943e+00
103,300,300,55,88,25,55,30,2.626570e+13,4.509907e+12,6.943008e-01,1.637063e+25,5.324597e+25,5.398757e+01,4.253634e+01,3.476088e+00
104,300,300,55,88,25,75,30,2.550692e+13,4.379622e+12,6.226594e-01,1.529932e+25,5.557013e+25,5.003165e+01,4.646853e+01,3.499818e+00
105,300,300,55,88,45,15,30,3.253269e+13,5.585971e+12,8.298764e-01,2.127252e+25,5.651541e+25,6.156598e+01,3.499955e+01,3.434472e+00
106,300,300,55,88,45,35,30,3.200305e+13,5.495029e+12,7.657811e-01,2.057667e+25,6.004436e+25,5.793192e+01,3.861654e+01,3.451538e+00
107,300,300,55,88,45,55,30,3.136924e+13,5.386202e+12,6.946224e-01,1.959188e+25,6.349540e+25,5.406714e+01,4.245889e+01,3.473964e+00
108,300,300,55,88,45,75,30,3.068148e+13,5.268111e+12,6.234811e-01,1.845185e+25,6.673173e+25,5.012600e+01,4.637664e+01,3.497357e+00
109,300,300,55,88,70,15,30,3.608404e+13,6.195749e+12,8.296980e-01,2.363012e+25,6.258699e+25,6.163604e+01,3.493145e+01,3.432510e+00
110,300,300,55,88,70,35,30,3.563634e+13,6.118877e+12,7.658533e-01,2.296987e+25,6.671404e+25,5.803870e+01,3.851268e+01,3.448620e+00
111,300,300,55,88,70,55,30,3.509239e+13,6.025478e+12,6.945056e-01,2.196503e+25,7.091412e+25,5.415371e+01,4.237464e+01,3.471653e+00
112,300,300,55,88,70,75,30,3.448892e+13,5.921862e+12,6.223434e-01,2.078362e+25,7.491238e+25,5.020140e+01,4.630321e+01,3.495390e+00
113,300,300,55,96,12,15,30,2.410227e+13,4.138439e+12,8.306812e-01,1.441194e+25,3.847818e+25,6.145225e+01,3.511010e+01,3.437657e+00
114,300,300,55,96,12,35,30,2.344214e+13,4.025093e+12,7.664365e-01,1.377518e+25,4.042478e+25,5.780235e+01,3.874257e+01,3.455080e+00
115,300,300,55,96,12,55,30,2.266106e+13,3.890979e+12,6.941778e-01,1.292216e+25,4.217227e+25,5.391050e+01,4.261135e+01,3.478145e+00
116,300,300,55,96,12,75,30,2.183555e+13,3.749236e+12,6.218991e-01,1.198009e+25,4.366946e+25,4.995126e+01,4.654683e+01,3.501915e+00
117,300,300,55,96,25,15,30,3.007965e+13,5.164775e+12,8.305369e-01,1.800348e+25,4.797350e+25,6.149659e+01,3.506699e+01,3.436415e+00
118,300,300,55,96,25,35,30,2.943593e+13,5.054246e+12,7.668921e-01,1.733028e+25,5.067476e+25,5.788477e+01,3.866240e+01,3.452827e+00
119,300,300,55,96,25,55,30,2.865608e+13,4.920343e+12,6.945334e-01,1.636815e+25,5.326126e+25,5.397724e+01,4.254640e+01,3.476364e+00
120,300,300,55,96,25,75,30,2.782586e+13,4.777793e+12,6.226712e-01,1.529868e+25,5.557357e+25,5.002844e+01,4.647166e+01,3.499902e+00
121,300,300,55,96,45,15,30,3.549919e+13,6.095328e+12,8.309090e-01,2.128331e+25,5.651563e+25,6.157716e+01,3.498868e+01,3.434159e+00
122,300,300,55,96,45,35,30,3.491305e+13,5.994685e+12,7.658478e-01,2.058138e+25,6.003654e+25,5.793911e+01,3.860955e+01,3.451342e+00
123,300,300,55,96,45,55,30,3.422065e+13,5.875799e+12,6.945891e-01,1.959359e+25,6.348940e+25,5.407158e+01,4.245457e+01,3.473846e+00
124,300,300,55,96,45,75,30,3.346462e+13,5.745985e+12,6.229269e-01,1.844690e+25,6.672247e+25,5.012358e+01,4.637900e+01,3.497420e+00
125,300,300,55,96,70,15,30,3.936711e+13,6.759462e+12,8.300647e-01,2.363528e+25,6.258342e+25,6.164167e+01,3.492598e+01,3.432352e+00
126,300,300,55,96,70,35,30,3.887335e+13,6.674683e+12,7.655199e-01,2.296467e+25,6.672130e+25,5.803012e+01,3.852102e+01,3.448854e+00
127,300,300,55,96,70,55,30,3.828414e+13,6.573514e+12,6.946831e-01,2.196575e+25,7.091811e+25,5.415287e+01,4.237545e+01,3.471676e+00
128,300,300,55,96,70,75,30,3.763170e+13,6.461486e+12,6.231209e-01,2.078702e+25,7.493001e+25,5.019925e+01,4.630530e+01,3.495446e+00
